,datum,tage,lebenszahl,paarsumme
499162,30.08.1367,499162,1,168
499192,29.09.1367,499192,1,168
499221,28.10.1367,499221,1,168
499251,27.11.1367,499251,1,168
499280,26.12.1367,499280,1,168
499497,30.07.1368,499497,1,168
499527,29.08.1368,499527,1,168
499557,28.09.1368,499557,1,168
499586,27.10.1368,499586,1,168
499616,26.11.1368,499616,1,168
499645,25.12.1368,499645,1,168
499802,31.05.1369,499802,1,168
499832,30.06.1369,499832,1,168
499861,29.07.1369,499861,1,168
499891,28.08.1369,499891,1,168
499921,27.09.1369,499921,1,168
499950,26.10.1369,499950,1,168
499980,25.11.1369,499980,1,168
500009,24.12.1369,500009,1,168
500166,30.05.1370,500166,1,168
500196,29.06.1370,500196,1,168
500225,28.07.1370,500225,1,168
500255,27.08.1370,500255,1,168
500285,26.09.1370,500285,1,168
500314,25.10.1370,500314,1,168
500344,24.11.1370,500344,1,168
500373,23.12.1370,500373,1,168
500471,31.03.1371,500471,1,168
500501,30.04.1371,500501,1,168
500530,29.05.1371,500530,1,168
500560,28.06.1371,500560,1,168
500589,27.07.1371,500589,1,168
500619,26.08.1371,500619,1,168
500649,25.09.1371,500649,1,168
500678,24.10.1371,500678,1,168
500708,23.11.1371,500708,1,168
500737,22.12.1371,500737,1,168
500836,30.03.1372,500836,1,168
500866,29.04.1372,500866,1,168
500895,28.05.1372,500895,1,168
500925,27.06.1372,500925,1,168
500954,26.07.1372,500954,1,168
500984,25.08.1372,500984,1,168
501014,24.09.1372,501014,1,168
501043,23.10.1372,501043,1,168
501073,22.11.1372,501073,1,168
501102,21.12.1372,501102,1,168
501143,31.01.1373,501143,1,168
501200,29.03.1373,501200,1,168
501230,28.04.1373,501230,1,168
501259,27.05.1373,501259,1,168
501289,26.06.1373,501289,1,168
501318,25.07.1373,501318,1,168
501348,24.08.1373,501348,1,168
501378,23.09.1373,501378,1,168
501407,22.10.1373,501407,1,168
501437,21.11.1373,501437,1,168
501466,20.12.1373,501466,1,168
501507,30.01.1374,501507,1,168
501564,28.03.1374,501564,1,168
501594,27.04.1374,501594,1,168
501623,26.05.1374,501623,1,168
501653,25.06.1374,501653,1,168
501682,24.07.1374,501682,1,168
501712,23.08.1374,501712,1,168
501742,22.09.1374,501742,1,168
501771,21.10.1374,501771,1,168
501801,20.11.1374,501801,1,168
501830,19.12.1374,501830,1,168
501871,29.01.1375,501871,1,168
501901,28.02.1375,501901,1,168
501928,27.03.1375,501928,1,168
501958,26.04.1375,501958,1,168
501987,25.05.1375,501987,1,168
502017,24.06.1375,502017,1,168
502046,23.07.1375,502046,1,168
502076,22.08.1375,502076,1,168
502106,21.09.1375,502106,1,168
502135,20.10.1375,502135,1,168
502165,19.11.1375,502165,1,168
502194,18.12.1375,502194,1,168
502235,28.01.1376,502235,1,168
502265,27.02.1376,502265,1,168
502293,26.03.1376,502293,1,168
502323,25.04.1376,502323,1,168
502352,24.05.1376,502352,1,168
502382,23.06.1376,502382,1,168
502411,22.07.1376,502411,1,168
502441,21.08.1376,502441,1,168
502471,20.09.1376,502471,1,168
502500,19.10.1376,502500,1,168
502530,18.11.1376,502530,1,168
502559,17.12.1376,502559,1,168
502600,27.01.1377,502600,1,168
502630,26.02.1377,502630,1,168
502657,25.03.1377,502657,1,168
502687,24.04.1377,502687,1,168
502716,23.05.1377,502716,1,168
502746,22.06.1377,502746,1,168
502775,21.07.1377,502775,1,168
